date,category,product,price,currency,source_url
2022-04-13,vga_avg,GeForce RTX 3060,682.81,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-14,vga_avg,GeForce RTX 3060,684.15,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-15,vga_avg,GeForce RTX 3060,673.68,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-16,vga_avg,GeForce RTX 3060,675.60,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-17,vga_avg,GeForce RTX 3060,687.15,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-18,vga_avg,GeForce RTX 3060,691.38,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-19,vga_avg,GeForce RTX 3060,679.63,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-20,vga_avg,GeForce RTX 3060,665.25,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-21,vga_avg,GeForce RTX 3060,677.65,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-22,vga_avg,GeForce RTX 3060,662.51,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-23,vga_avg,GeForce RTX 3060,659.26,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-24,vga_avg,GeForce RTX 3060,659.97,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-25,vga_avg,GeForce RTX 3060,655.46,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-26,vga_avg,GeForce RTX 3060,642.46,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-27,vga_avg,GeForce RTX 3060,643.00,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-28,vga_avg,GeForce RTX 3060,642.91,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-29,vga_avg,GeForce RTX 3060,635.65,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-04-30,vga_avg,GeForce RTX 3060,647.56,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-05-01,vga_avg,GeForce RTX 3060,662.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-05-02,vga_avg,GeForce RTX 3060,667.17,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
