ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2357.TW,華碩,TW,2021-03,monthly,45901778000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-03,monthly,11009777000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-03,monthly,17725961000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2021-03-27,quarterly,3445000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2021-04,monthly,39139014000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-04,monthly,11047434000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-04,monthly,15077434000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-05,monthly,40995436000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-05,monthly,11601877000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-05,monthly,15674299000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-06,monthly,47945921000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-06,monthly,9134400000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-06,monthly,15570323000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2021-06-26,quarterly,3850000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2021-07,monthly,37573755000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-07,monthly,8217667000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-07,monthly,14524825000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-08,monthly,45468278000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2021-08,monthly,10340451000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2021-08,monthly,18478966000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2021-09,monthly,56051076000.0,TWD,https://api.finmindtrade.com/api/v4/data
